1|0|1|2022-05-24|2022-08-24|77
1|0|1|2022-05-24|2022-08-24|77
1|0|1|2022-05-24|2022-08-24|77
1|0|1|2022-05-24|2022-08-24|77
1|0|1|2022-05-24|2022-08-24|77
1|0|1|2022-05-24|2022-08-24|77
1|0|1|2022-05-24|2022-08-24|77
1|0|1|2022-05-24|2022-08-24|77
1|0|1|2022-05-24|2022-08-24|77
1|0|1|2022-05-28|2022-08-28|77
1|0|1|2022-05-28|2022-08-28|77
1|0|1|2022-05-28|2022-08-28|77
1|0|1|2022-05-28|2022-08-28|77
1|0|1|2022-05-28|2022-08-28|77
1|0|1|2022-05-28|2022-08-28|77
1|0|1|2022-05-28|2022-08-28|77
1|0|1|2022-05-28|2022-08-28|77
1|0|1|2022-05-28|2022-08-28|77
1|0|1|2022-05-29|2022-08-29|77
1|0|1|2022-05-29|2022-08-29|77
1|0|1|2022-05-29|2022-08-29|77
1|0|1|2022-05-29|2022-08-29|77
1|0|1|2022-05-29|2022-08-29|77
1|0|1|2022-05-29|2022-08-29|77
1|0|1|2022-05-29|2022-08-29|77
1|0|1|2022-05-29|2022-08-29|77
1|0|1|2022-05-29|2022-08-29|77
1|61|1|2022-05-29|2022-08-29|77
1|61|1|2022-05-29|2022-08-29|77
1|61|1|2022-05-29|2022-08-29|77
1|61|1|2022-05-29|2022-08-29|77
1|61|1|2022-05-29|2022-08-29|77
1|61|1|2022-05-29|2022-08-29|77
1|61|1|2022-05-29|2022-08-29|77
1|61|1|2022-05-29|2022-08-29|77
1|61|1|2022-05-29|2022-08-29|77
1|61|1|2022-05-29|2022-08-29|77
1|61|1|2022-05-29|2022-08-29|77
1|61|1|2022-05-29|2022-08-29|77
1|61|1|2022-05-29|2022-08-29|77
1|61|1|2022-05-29|2022-08-29|77
